scenario,policy,latency_ratio,macro_cdf
full,baseline,0.9999999999999958,0.001692047377326565
full,baseline,0.9999999999999963,0.003484162072667067
full,baseline,0.9999999999999978,0.018717092822726815
full,baseline,0.999999999999998,0.025537568168100377
full,baseline,0.9999999999999986,0.02732968286344088
full,baseline,0.9999999999999994,0.03091391225412188
full,baseline,1.0000000000000007,0.03253203523146816
full,baseline,1.000000000000001,0.03932636765880807
full,baseline,1.0000000000000016,0.045872783968173465
full,baseline,1.000000000000003,0.04918295432284631
full,baseline,1.0008968933602327,0.050875001700172874
full,baseline,1.0019584303199092,0.052493124677519154
full,baseline,1.0030718896469775,0.054111247654865434
full,baseline,1.0043237664523665,0.055803295032192
full,baseline,1.0053377406696082,0.0575954097275325
full,baseline,1.0063515215355412,0.059387524422873005
full,baseline,1.0063706506417447,0.06107957180019957
full,baseline,1.006561943705188,0.06287168649554008
full,baseline,1.0066618619348737,0.06456373387286664
full,baseline,1.0071740032343117,0.0662557812501932
full,baseline,1.0081206354974825,0.06794782862751976
full,baseline,1.008527153451609,0.06963987600484634
full,baseline,1.0095812638479582,0.07143199070018684
full,baseline,1.0108750644884645,0.07322410539552733
full,baseline,1.0125650192461086,0.0749161527728539
full,baseline,1.014545259268455,0.07660820015018045
full,baseline,1.0151023388072749,0.07830024752750703
full,baseline,1.0158858583163164,0.0799183705048533
full,baseline,1.019663305296561,0.08171048520019382
full,baseline,1.0203585162950155,0.08340253257752038
full,baseline,1.022442464027631,0.08509457995484693
full,baseline,1.022877682026159,0.0867127029321932
full,baseline,1.0230419161242432,0.08840475030951978
full,baseline,1.0233847930066697,0.09009679768684635
full,baseline,1.0238048933254422,0.09178884506417291
full,baseline,1.024328640710151,0.09358095975951342
full,baseline,1.0252553023797604,0.09519908273685969
full,baseline,1.0253478107378562,0.09689113011418626
full,baseline,1.0257202854698833,0.09858317749151284
full,baseline,1.0258244475466982,0.10020130046885911
full,baseline,1.0270665669957169,0.10189334784618569
full,baseline,1.027198462756968,0.10351147082353196
full,baseline,1.0272547752723775,0.10512959380087823
full,baseline,1.0273346207545277,0.10674771677822452
full,baseline,1.027600113019876,0.10836583975557079
full,baseline,1.028202255511808,0.11005788713289737
full,baseline,1.0292354274387485,0.11167601011024364
full,baseline,1.0304822837497953,0.11329413308758991
full,baseline,1.030913839199848,0.11498618046491649
full,baseline,1.0316487497056768,0.11677829516025699
full,baseline,1.0319167585138094,0.11839641813760327
full,baseline,1.0324542908616148,0.12008846551492984
full,baseline,1.0325097716534664,0.12188058021027033
full,baseline,1.032644107466617,0.12367269490561084
full,baseline,1.0326623512796855,0.12529081788295712
full,baseline,1.0329063896841841,0.12698286526028366
full,baseline,1.0353433243065342,0.12867491263761024
full,baseline,1.036291773213946,0.13046702733295074
full,baseline,1.0364758506693774,0.1321590747102773
full,baseline,1.0368696440987168,0.13385112208760386
full,baseline,1.0369198365814836,0.13546924506495014
full,baseline,1.037029923094633,0.1370873680422964
full,baseline,1.0378329747012955,0.1387054910196427
full,baseline,1.0384143003461708,0.14032361399698898
full,baseline,1.0384224635962036,0.14201566137431554
full,baseline,1.040700905744959,0.14363378435166183
full,baseline,1.0412527432227647,0.14532583172898839
full,baseline,1.0415810554068363,0.14694395470633467
full,baseline,1.0416831345168691,0.14873606940167516
full,baseline,1.042662031166065,0.15035419237902145
full,baseline,1.0430204035773925,0.152046239756348
full,baseline,1.0434970075352188,0.1536643627336943
full,baseline,1.0452739828126145,0.15528248571104056
full,baseline,1.0459148574579833,0.15697453308836715
full,baseline,1.0475288882221991,0.1585926560657134
full,baseline,1.0498596637780837,0.1602107790430597
full,baseline,1.0513563542099016,0.16190282642038625
full,baseline,1.052208791978407,0.16352094939773254
