request_id,npu_id,role,category,group,policy,total_k,nql,read_mib_per_layer,compute_ms_per_layer,demand_gib_s,pure_single40_gib_s_read_ms,compute_extrapolated,layer,io_release_ms,io_ready_ms,compute_start_ms,compute_end_ms,io_elapsed_ms,exposed_stall_ms
0,0,S,SL,g0,fifo,32.0,1268,42.29736328125,8.951857101055381,4.614240192068741,1.0326504707336426,False,0,0.0,8.259322047233582,8.259322047233582,17.211179148288963,8.259322047233582,8.259322047233582
0,0,S,SL,g0,fifo,32.0,1268,42.29736328125,8.951857101055381,4.614240192068741,1.0326504707336426,False,1,8.259322047233582,16.397525668144226,17.211179148288963,26.163036249344344,8.138203620910645,0.0
0,0,S,SL,g0,fifo,32.0,1268,42.29736328125,8.951857101055381,4.614240192068741,1.0326504707336426,False,2,17.211179148288963,20.847057070941265,26.163036249344344,35.114893350399726,3.635877922652302,0.0
0,0,S,SL,g0,fifo,32.0,1268,42.29736328125,8.951857101055381,4.614240192068741,1.0326504707336426,False,3,26.163036249344344,29.421840243757835,35.114893350399726,44.06675045145511,3.2588039944134906,0.0
0,0,S,SL,g0,fifo,32.0,1268,42.29736328125,8.951857101055381,4.614240192068741,1.0326504707336426,False,4,35.114893350399726,38.000819583566596,44.06675045145511,53.01860755251049,2.8859262331668702,0.0
0,0,S,SL,g0,fifo,32.0,1268,42.29736328125,8.951857101055381,4.614240192068741,1.0326504707336426,False,5,44.06675045145511,46.7979996069691,53.01860755251049,61.97046465356587,2.731249155513993,0.0
0,0,S,SL,g0,fifo,32.0,1268,42.29736328125,8.951857101055381,4.614240192068741,1.0326504707336426,False,6,53.01860755251049,55.66651446923879,61.97046465356587,70.92232175462125,2.647906916728303,0.0
0,0,S,SL,g0,fifo,32.0,1268,42.29736328125,8.951857101055381,4.614240192068741,1.0326504707336426,False,7,61.97046465356587,64.53502933150848,70.92232175462125,79.87417885567663,2.564564677942613,0.0
1000000,1,S,SL,g0,fifo,32.0,1283,42.2772216796875,9.056034899537488,4.558987432643222,1.0321587324142456,False,0,0.0,8.252713084220886,8.252713084220886,17.308747983758373,8.252713084220886,8.252713084220886
1000000,1,S,SL,g0,fifo,32.0,1283,42.2772216796875,9.056034899537488,4.558987432643222,1.0321587324142456,False,1,8.252713084220886,15.006116032600403,17.308747983758373,26.36478288329586,6.753402948379517,0.0
1000000,1,S,SL,g0,fifo,32.0,1283,42.2772216796875,9.056034899537488,4.558987432643222,1.0321587324142456,False,2,17.308747983758373,25.39086338540965,26.36478288329586,35.420817782833346,8.082115401651276,0.0
1000000,1,S,SL,g0,fifo,32.0,1283,42.2772216796875,9.056034899537488,4.558987432643222,1.0321587324142456,False,3,26.36478288329586,34.259378247679344,35.420817782833346,44.47685268237083,7.894595364383484,0.0
1000000,1,S,SL,g0,fifo,32.0,1283,42.2772216796875,9.056034899537488,4.558987432643222,1.0321587324142456,False,4,35.420817782833346,43.12789310994904,44.47685268237083,53.53288758190832,7.707075327115696,0.0
1000000,1,S,SL,g0,fifo,32.0,1283,42.2772216796875,9.056034899537488,4.558987432643222,1.0321587324142456,False,5,44.47685268237083,51.996407972218734,53.53288758190832,62.588922481445806,7.519555289847901,0.0
1000000,1,S,SL,g0,fifo,32.0,1283,42.2772216796875,9.056034899537488,4.558987432643222,1.0321587324142456,False,6,53.53288758190832,60.864922834488425,62.588922481445806,71.6449573809833,7.332035252580106,0.0
1000000,1,S,SL,g0,fifo,32.0,1283,42.2772216796875,9.056034899537488,4.558987432643222,1.0321587324142456,False,7,62.588922481445806,69.73343769675812,71.6449573809833,80.7009922805208,7.14451521531231,0.0
