start_s,end_s,supply_GiB_s
2.0,2.01,40.0
2.01,2.02,40.0
2.02,2.03,40.0
2.03,2.04,40.0
2.04,2.05,40.0
2.05,2.06,40.0
2.06,2.07,40.0
2.07,2.08,40.0
2.08,2.09,40.0
2.09,2.1,40.0
2.1,2.11,40.0
2.11,2.12,40.0
2.12,2.13,40.0
2.13,2.14,40.0
2.14,2.15,40.0
2.15,2.16,40.0
2.16,2.17,40.0
2.17,2.18,40.0
2.18,2.19,40.0
2.19,2.2,40.0
2.2,2.21,40.0
2.21,2.22,40.0
2.22,2.23,40.0
2.23,2.24,40.0
2.24,2.25,40.0
2.25,2.26,40.0
2.26,2.27,40.0
2.27,2.2800000000000002,40.0
2.2800000000000002,2.29,40.0
2.29,2.3,40.0
2.3,2.31,40.0
2.31,2.32,40.0
2.32,2.33,40.0
2.33,2.34,40.0
2.34,2.35,40.0
2.35,2.36,40.0
2.36,2.37,40.0
2.37,2.38,40.0
2.38,2.39,40.0
2.39,2.4,40.0
2.4,2.41,40.0
2.41,2.42,40.0
2.42,2.43,40.0
2.43,2.44,40.0
2.44,2.45,40.0
2.45,2.46,38.80702102419855
2.46,2.47,36.79336297804184
2.47,2.48,36.17706348122192
2.48,2.49,35.6170654296875
2.49,2.5,27.783428146451115
2.5,2.51,38.780115463303446
2.51,2.52,40.0
2.52,2.5300000000000002,24.467761524547313
2.5300000000000002,2.54,40.0
2.54,2.55,39.74076386665729
2.55,2.56,39.60482308888459
2.56,2.5700000000000003,32.39742873612704
2.5700000000000003,2.58,34.558965401753085
2.58,2.59,40.0
2.59,2.6,40.0
2.6,2.61,40.0
2.61,2.62,24.715053616026125
2.62,2.63,20.988245526077662
2.63,2.64,31.40269665933738
2.64,2.65,31.867306517138786
2.65,2.66,40.0
2.66,2.67,40.0
2.67,2.68,36.56423061118767
2.68,2.69,26.873834906817137
2.69,2.7,40.0
2.7,2.71,40.0
2.71,2.7199999999999998,40.0
2.7199999999999998,2.73,40.0
2.73,2.74,32.03359658203044
2.74,2.75,29.94737165452716
2.75,2.76,39.38481840154782
2.76,2.77,30.019384057122807
2.77,2.7800000000000002,37.08845997483877
2.7800000000000002,2.79,21.60478857904309
2.79,2.8,40.0
