label,family,seed,strategy,input_fingerprint,window_start_ms,window_end_ms,npu_id,utilization,active_ms,stall_ms,idle_ms
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,23,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,24,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,25,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,26,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,27,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,28,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,29,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,30,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,31,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,0,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,1,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,2,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,3,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,4,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,5,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,6,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,7,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,8,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,9,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,10,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,11,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,12,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,13,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,14,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,15,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,16,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,17,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,18,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,19,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,20,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,21,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,22,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,23,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,24,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,25,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,26,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,27,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,28,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,29,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,30,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,31,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,0,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,1,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,2,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,3,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,4,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,5,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,6,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,7,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,8,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,9,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,10,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,11,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,12,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,13,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,14,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,15,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,16,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,17,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,18,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,19,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,20,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,21,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,22,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,23,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,24,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,25,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,26,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,27,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,28,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,29,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,30,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,31,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,0,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,1,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,2,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,3,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,4,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,5,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,6,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,7,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,8,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,9,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,10,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,11,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,12,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,13,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,14,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,15,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,16,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,17,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,18,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,19,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,20,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,21,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,22,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,23,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,24,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,25,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,26,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,27,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,28,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,29,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,30,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,2000,3000,31,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,0,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,1,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,2,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,3,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,4,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,5,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,6,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,7,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,8,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,9,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,10,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,11,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,12,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,13,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,14,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,15,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,16,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,17,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,18,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,19,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,20,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,21,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,22,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,23,1.0,1000.0,0.0,0.0
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1000,2000,24,1.0,1000.0,0.0,0.0
