policy,npu_id,start_ms,end_ms,request_id,next_request_id,layer,next_layer,same_request,next_io_ready_ms,SSU0_actual_cycle_GiB,SSU1_actual_cycle_GiB,SSU2_actual_cycle_GiB,SSU0_mean_supply_GiB_s,SSU1_mean_supply_GiB_s,SSU2_mean_supply_GiB_s
od_baseline,0,46.35431752929688,92.74713979492188,0,0,0,1,True,92.74713979492188,0.052703857421875,0.0582427978515625,0.0605926513671875,1.1360347322720694,1.255426917510854,1.3060781476121563
od_baseline,0,92.74713979492188,139.25325856933594,0,0,1,2,True,139.25325856933594,0.052703857421875,0.0582427978515625,0.0605926513671875,1.1332671659298024,1.2523684922854823,1.3028963277091041
od_baseline,0,139.25325856933594,185.84330068359375,0,0,2,3,True,185.84330068359375,0.052703857421875,0.0582427978515625,0.0605926513671875,1.131225794830226,1.250112582184995,1.3005494010627758
od_baseline,0,185.84330068359375,232.42914663085938,0,0,3,4,True,232.42914663085938,0.052703857421875,0.0582427978515625,0.0605926513671875,1.1313276887047379,1.250225184651414,1.300666546568186
od_baseline,0,232.42914663085938,279.02758107910154,0,0,4,5,True,279.02758107910154,0.052703857421875,0.0582427978515625,0.0605926513671875,1.1310220621341744,1.2498874380909508,1.3003151733453406
od_baseline,0,279.02758107910154,325.5924461914062,0,0,5,6,True,325.5924461914062,0.052703857421875,0.0582427978515625,0.0605926513671875,1.1318374335405965,1.2507885013967739,1.3012525907903036
od_baseline,0,325.5924461914062,372.1950768066406,0,0,6,7,True,372.1950768066406,0.052703857421875,0.0582427978515625,0.0605926513671875,1.1309202233027194,1.249774896452368,1.300198091121916
od_baseline,0,372.1950768066406,418.5249565673828,0,1,7,0,False,418.5249565673828,0.052032470703125,0.0579071044921875,0.0575714111328125,1.1230866769314374,1.2498867856172449,1.242641065120913
od_baseline,0,418.5249565673828,494.1287943254759,1,1,0,1,True,462.035012109375,0.052032470703125,0.0579071044921875,0.0575714111328125,0.6882252574216065,0.7659281090659814,0.7614879461148742
od_baseline,0,494.1287943254759,569.732632083569,1,1,1,2,True,497.4832102190306,0.052032470703125,0.0579071044921875,0.0575714111328125,0.6882252574216065,0.7659281090659814,0.7614879461148742
od_baseline,0,569.732632083569,645.3364698416622,1,1,2,3,True,573.0870479771237,0.052032470703125,0.0579071044921875,0.0575714111328125,0.688225257421606,0.7659281090659809,0.7614879461148737
od_baseline,0,645.3364698416622,720.9403075997552,1,1,3,4,True,648.6908857352169,0.052032470703125,0.0579071044921875,0.0575714111328125,0.688225257421607,0.765928109065982,0.7614879461148748
od_baseline,0,720.9403075997552,796.5441453578483,1,1,4,5,True,724.2947234933099,0.052032470703125,0.0579071044921875,0.0575714111328125,0.688225257421607,0.765928109065982,0.7614879461148748
od_baseline,0,796.5441453578483,872.1479831159413,1,1,5,6,True,799.898561251403,0.052032470703125,0.0579071044921875,0.0575714111328125,0.688225257421607,0.765928109065982,0.7614879461148748
od_baseline,0,872.1479831159413,947.7518208740344,1,1,6,7,True,875.502399009496,0.052032470703125,0.0579071044921875,0.0575714111328125,0.688225257421607,0.765928109065982,0.7614879461148748
od_baseline,0,947.7518208740344,1023.3556586321274,1,2,7,0,False,951.106236767589,0.05303955078125,0.057403564453125,0.05706787109375,0.7015457462749284,0.7592678646393213,0.7548277016882141
od_baseline,0,1023.3556586321274,1101.6768227879306,2,2,0,1,True,1026.710074525682,0.05303955078125,0.057403564453125,0.05706787109375,0.6772058530148907,0.7329253219338374,0.7286392089400723
od_baseline,0,1101.6768227879306,1179.9979869437338,2,2,1,2,True,1105.0337234772078,0.05303955078125,0.057403564453125,0.05706787109375,0.6772058530148907,0.7329253219338374,0.7286392089400723
od_baseline,0,1179.9979869437338,1258.319151099537,2,2,2,3,True,1187.2110321943585,0.05303955078125,0.057403564453125,0.05706787109375,0.6772058530148907,0.7329253219338374,0.7286392089400723
od_baseline,0,1258.319151099537,1336.6403152553403,2,2,3,4,True,1268.127812347056,0.05303955078125,0.057403564453125,0.05706787109375,0.6772058530148907,0.7329253219338374,0.7286392089400723
od_baseline,0,1336.6403152553403,1414.9614794111435,2,2,4,5,True,1353.572356684324,0.05303955078125,0.057403564453125,0.05706787109375,0.6772058530148907,0.7329253219338374,0.7286392089400723
od_baseline,0,1414.9614794111435,1493.2826435669467,2,2,5,6,True,1440.5902636436622,0.05303955078125,0.057403564453125,0.05706787109375,0.6772058530148907,0.7329253219338374,0.7286392089400723
od_baseline,0,1493.2826435669467,1571.60380772275,2,2,6,7,True,1525.5563449438207,0.05303955078125,0.057403564453125,0.05706787109375,0.6772058530148907,0.7329253219338374,0.7286392089400723
od_baseline,0,1571.60380772275,1649.9249718785532,2,3,7,0,False,1613.094080902839,0.0592498779296875,0.060089111328125,0.0522003173828125,0.7564989433995456,0.7672142258839585,0.6664905705304779
od_baseline,0,1649.9249718785532,1697.2978469128427,3,3,0,1,True,1697.2978469128427,0.0592498779296875,0.060089111328125,0.0522003173828125,1.2507131536095517,1.2684286373717266,1.1019030900072821
od_baseline,0,1697.2978469128427,1745.2516432995615,3,3,1,2,True,1745.2516432995615,0.0592498779296875,0.060089111328125,0.0522003173828125,1.2355617780889045,1.2530626531326565,1.088554427721386
od_baseline,0,1745.2516432995615,1793.314540028077,3,3,2,3,True,1793.314540028077,0.0592498779296875,0.060089111328125,0.0522003173828125,1.2327571154181944,1.250218264361795,1.0860834642919504
od_baseline,0,1793.314540028077,1841.385829090577,3,3,3,4,True,1841.385829090577,0.0592498779296875,0.060089111328125,0.0522003173828125,1.2325418994413408,1.25,1.0858938547486034
od_baseline,0,1841.385829090577,1889.452921986085,3,3,4,5,True,1889.452921986085,0.0592498779296875,0.060089111328125,0.0522003173828125,1.2326494980357923,1.250109122653863,1.0859886512439982
od_baseline,0,1889.452921986085,1937.524211048585,3,3,5,6,True,1937.524211048585,0.0592498779296875,0.060089111328125,0.0522003173828125,1.2325418994413408,1.25,1.0858938547486034
od_baseline,0,1937.524211048585,1985.599696278077,3,3,6,7,True,1985.599696278077,0.0592498779296875,0.060089111328125,0.0522003173828125,1.2324343196299206,1.2498908963952169,1.0857990748014315
od_baseline,0,1985.599696278077,2031.925379871827,3,4,7,0,False,2031.925379871827,0.0522003173828125,0.0579071044921875,0.057403564453125,1.1268115942028984,1.25,1.2391304347826086
od_baseline,0,2031.925379871827,2107.5292176299204,4,4,0,1,True,2070.773493885499,0.0522003173828125,0.0579071044921875,0.057403564453125,0.6904453388971585,0.7659281090659796,0.759267864639319
od_baseline,0,2107.5292176299204,2183.1330553880134,4,4,1,2,True,2110.883633523475,0.0522003173828125,0.0579071044921875,0.057403564453125,0.6904453388971605,0.765928109065982,0.7592678646393213
od_baseline,0,2183.1330553880134,2258.7368931461065,4,4,2,3,True,2186.487471281568,0.0522003173828125,0.0579071044921875,0.057403564453125,0.6904453388971605,0.765928109065982,0.7592678646393213
od_baseline,0,2258.7368931461065,2334.3407309041995,4,4,3,4,True,2262.091309039661,0.0522003173828125,0.0579071044921875,0.057403564453125,0.6904453388971605,0.765928109065982,0.7592678646393213
od_baseline,0,2334.3407309041995,2409.9445686622926,4,4,4,5,True,2337.695146797754,0.0522003173828125,0.0579071044921875,0.057403564453125,0.6904453388971605,0.765928109065982,0.7592678646393213
od_baseline,0,2409.9445686622926,2485.5484064203856,4,4,5,6,True,2413.2989845558473,0.0522003173828125,0.0579071044921875,0.057403564453125,0.6904453388971605,0.765928109065982,0.7592678646393213
