case,strategy,seed,order_mode,npu,ssu,complete_native_run,has_extended_windows,request_count,makespan_ms,input_fingerprint,manifest_sha256,source_unchanged_during_run,current_source_files_match,window,start_ms,end_ms,available,first_npu_finishes_ms,ends_before_first_npu_finishes,duration_ms,U_percent,SLO_1p5_percent,admitted_count,passed_count,completed_after_window_count,all_npus_active,mixed_npu_count,all_npus_compute_AB,missing_A_npu_ids,missing_B_npu_ids,inactive_npu_ids,nominal_strict_under40,nominal_peak_GB_s,any_ssu_over40_percent,any_ssu_at_or_above40_percent,internal_stall_card_ms,layer0_stall_card_ms,per_npu_U_percent,valid_all_active_mixed_underload_window,A_admitted_count,A_passed_count,A_SLO_1p5_percent,B_admitted_count,B_passed_count,B_SLO_1p5_percent,SSU0_nominal_peak_GB_s,SSU0_nominal_mean_GB_s,SSU0_over40_percent,SSU1_nominal_peak_GB_s,SSU1_nominal_mean_GB_s,SSU1_over40_percent,SSU2_nominal_peak_GB_s,SSU2_nominal_mean_GB_s,SSU2_over40_percent,SSU3_nominal_peak_GB_s,SSU3_nominal_mean_GB_s,SSU3_over40_percent,reason
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,warm_2_4,2000.0,4000.0,True,12808.391971042865,True,2000.0,99.8760880193954,100.0,230,230,16,True,16,True,,,,True,33.6613866317414,0.0,0.0,11.249950783620534,28.401883009855283,"[99.85570004955973, 99.73116291611, 99.9651181307449, 100.0, 99.76461265705389, 99.81351969400198, 99.91689391866457, 99.84921873714559, 99.97769670424229, 99.97101720522046, 99.81959580354132, 100.0, 99.61600750106162, 100.0, 99.89404141747404, 99.84282357550583]",True,80,80,100.0,150,150,100.0,33.6613866317414,31.68256871349115,0.0,33.470291149701104,31.154080606895608,0.0,30.988645475893254,29.418423042568893,0.0,30.420822178086937,28.79753699998871,0.0,
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,steady_2_10,2000.0,10000.0,True,12808.391971042865,True,8000.0,99.89712672272726,100.0,947,947,16,True,16,True,,,,True,34.61294095294455,0.0,0.0,37.42138199320789,94.256412915885,"[99.85300968054563, 99.8324787402978, 99.93925949386589, 99.91572172427873, 99.89736069112747, 99.90915940021259, 99.92242466396671, 99.89150226077932, 99.88014498693501, 99.93413543573458, 99.90394527136742, 99.94506319428486, 99.83805470736536, 99.86649550256821, 99.95843347101228, 99.86683833929447]",True,319,319,100.0,628,628,100.0,34.61294095294455,31.705985004857347,0.0,33.470291149701104,31.018164097492377,0.0,31.752416796672037,29.3266003201093,0.0,31.02299878858756,28.633612642169883,0.0,
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,late_4_10,4000.0,10000.0,True,12808.391971042865,True,6000.0,99.90413962383792,100.0,717,717,16,True,16,True,,,,True,34.61294095294455,0.0,0.0,26.171431209587354,65.85452990602971,"[99.85211289087425, 99.86625068169373, 99.93063994823954, 99.88762896570498, 99.94161003581867, 99.94103930228279, 99.9242682457341, 99.90559676865725, 99.84762774783256, 99.9218415125726, 99.93206176064278, 99.92675092571314, 99.91207044279994, 99.82199400342428, 99.97989748885836, 99.87484326055737]",True,239,239,100.0,478,478,100.0,34.61294095294455,31.71379043531275,0.0,33.17622949291618,30.972858594357962,0.0,31.752416796672037,29.295992745956116,0.0,31.02299878858756,28.578971189563603,0.0,
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,long_2_60,2000.0,60000.0,False,12808.391971042865,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,requested window extends beyond complete finite trajectory; not clipped
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,late_20_40,20000.0,40000.0,False,12808.391971042865,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,requested window extends beyond complete finite trajectory; not clipped
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,late_20_60,20000.0,60000.0,False,12808.391971042865,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,requested window extends beyond complete finite trajectory; not clipped
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,late_40_60,40000.0,60000.0,False,12808.391971042865,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,requested window extends beyond complete finite trajectory; not clipped
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,planned_2_horizon,2000.0,12000.0,True,12808.391971042865,True,10000.0,99.90687132254709,100.0,1182,1182,16,True,16,True,,,,True,34.61294095294455,0.0,0.0,38.431632238377915,110.57425168627879,"[99.8824077444365, 99.85240926497434, 99.92166063832396, 99.93257737942298, 99.88054525327854, 99.90348914026565, 99.91422360870762, 99.91320180862347, 99.90411598954799, 99.92982615829553, 99.92297739769872, 99.95605055542788, 99.87044376589229, 99.87935890256828, 99.95678736185398, 99.88986619143566]",True,400,400,100.0,782,782,100.0,34.61294095294455,31.678256180055026,0.0,33.470291149701104,31.050697069100874,0.0,31.752416796672037,29.330762170004785,0.0,31.02299878858756,28.665181270430224,0.0,
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,random,16,4,True,False,1536,12833.014007438378,a5242d35865bfadf3ce43fa1600c8e2c4fdfe25b8a28990078731fda5d547953,0f211c3c11f5d4cfdbbaa297e08504a63bdef681d871ecb2f909c6803dda0fd5,True,True,full,0.0,12833.014007438378,True,12808.391971042865,False,12833.014007438378,99.6577888958296,100.0,1536,1536,0,False,16,True,,,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15",True,34.61294095294455,0.0,0.0,218.6524645987536,271.43339159170796,"[99.65778889582928, 99.65778889582981, 99.65778889582973, 99.65778889582947, 99.65778889582965, 99.6577888958296, 99.65778889582921, 99.65778889582958, 99.65778889582973, 99.65778889582921, 99.65778889582967, 99.65778889582938, 99.65778889582975, 99.65778889582955, 99.65778889582995, 99.65778889582987]",False,512,512,100.0,1024,1024,100.0,34.61294095294455,31.592167988927663,0.0,33.470291149701104,30.930180312721753,0.0,31.752416796672037,29.26833122130479,0.0,31.02299878858756,28.585316263290775,0.0,
A200m1024_B32m1024_s4_r13_random_seed7,asu_baseline,7,random,16,4,True,False,1792,12858.741114482274,41b286aec9fc5632f9140565c9fe26a49a7fdc934d105258f90b480f78bab36f,ea427701cb83a44c5c9fb660302818f99d972219e68952c6a1f9b3f697694333,True,True,warm_2_4,2000.0,4000.0,True,12838.949794048063,True,2000.0,99.75500098053479,100.0,282,282,16,True,16,True,,,,True,32.2923387818803,0.0,0.0,41.89282702266155,36.50685920620617,"[99.90784085824957, 99.72706526646837, 99.89254793234137, 99.60618994910041, 99.9259949009961, 99.80397176067939, 99.43796043982893, 100.0, 99.78388167682812, 99.76021542111751, 99.77589693214097, 99.76013989572027, 99.51017917350514, 99.68507458436603, 99.63914631929333, 99.86391057792109]",True,69,69,100.0,213,213,100.0,32.274681240502275,30.890448572103573,0.0,32.2923387818803,30.287077245579027,0.0,30.813309031464964,28.593664551382822,0.0,29.505539473293325,27.775604371130765,0.0,
